avg_score,episode_count,frame_count,interval_lower,interval_upper,min,max
7.2,202,25000,2.83169960878,11.5683003912,1.0,20.0
8.4,400,50000,2.49908837577,14.3009116242,1.0,23.0
7.5,593,75000,0.545936078559,14.4540639214,1.0,33.0
8.8,795,100000,4.74210506628,12.8578949337,3.0,20.0
291.1,981,125000,76.3463433574,505.853656643,11.0,1000.0
26.4,1163,150000,10.5785505021,42.2214494979,1.0,60.0
37.7,1342,175000,3.31314415889,72.0868558411,2.0,159.0
46.2,1530,200000,14.1944065202,78.2055934798,4.0,136.0
33.3,1718,225000,19.1204062439,47.4795937561,5.0,62.0
35.0,1892,250000,4.7043558545,65.2956441455,5.0,149.0
45.1,2079,275000,25.8503850001,64.3496149999,5.0,89.0
28.1,2267,300000,10.4853297702,45.7146702298,2.0,74.0
0.5,2436,325000,0.12297380621,0.87702619379,0.0,1.0
35.3,2631,350000,6.82106746142,63.7789325386,1.0,122.0
69.9,2799,375000,13.5036864366,126.296313563,5.0,286.0
38.3,2983,400000,10.8064392407,65.7935607593,5.0,130.0
62.9,3169,425000,18.090694617,107.709305383,1.0,154.0
55.5,3335,450000,20.3410186902,90.6589813098,4.0,185.0
51.5,3511,475000,8.65913888436,94.3408611156,4.0,172.0
56.3,3681,500000,18.2550118132,94.3449881868,2.0,154.0
