avg_score,episode_count,frame_count,interval_lower,interval_upper,min,max
5.3,140,25000,2.43757899736,8.16242100264,1.0,12.0
20.0,246,50000,-1.26374253411,41.2637425341,1.0,88.0
994.6,322,75000,982.384351321,1006.81564868,946.0,1000.0
309.9,348,100000,35.7374087031,584.062591297,6.0,1000.0
502.7,378,125000,260.002865161,745.397134839,65.0,1000.0
386.1,411,150000,137.992597024,634.207402976,17.0,1000.0
627.1,443,175000,398.566773878,855.633226122,212.0,1000.0
377.2,477,200000,119.371239015,635.028760985,32.0,1000.0
631.6,501,225000,424.295871527,838.904128473,170.0,1000.0
519.1,535,250000,211.647319163,826.552680837,20.0,1000.0
393.3,571,275000,187.718973259,598.881026741,37.0,1000.0
452.0,602,300000,238.92048526,665.07951474,61.0,922.0
647.4,623,325000,372.924060862,921.875939138,1.0,1000.0
325.8,655,350000,148.205438243,503.394561757,95.0,861.0
536.7,680,375000,246.130033982,827.269966018,14.0,1000.0
514.2,711,400000,273.376679802,755.023320198,62.0,1000.0
550.6,742,425000,325.551754277,775.648245723,122.0,1000.0
299.1,764,450000,69.8404313888,528.359568611,1.0,1000.0
338.3,792,475000,97.8570496149,578.742950385,7.0,924.0
199.5,822,500000,74.7494444671,324.250555533,38.0,593.0
