avg_score,episode_count,frame_count,interval_lower,interval_upper,min,max
43.7,4,1000,36.8547159142,50.5452840858,25.0,50.0
50.0,7,2000,50.0,50.0,50.0,50.0
50.0,9,3000,50.0,50.0,50.0,50.0
50.0,11,4000,50.0,50.0,50.0,50.0
50.0,12,5000,50.0,50.0,50.0,50.0
50.0,12,6000,50.0,50.0,50.0,50.0
50.0,16,7000,50.0,50.0,50.0,50.0
50.0,18,8000,50.0,50.0,50.0,50.0
50.0,19,9000,50.0,50.0,50.0,50.0
50.0,20,10000,50.0,50.0,50.0,50.0
50.0,22,11000,50.0,50.0,50.0,50.0
50.0,25,12000,50.0,50.0,50.0,50.0
50.0,27,13000,50.0,50.0,50.0,50.0
50.0,27,14000,50.0,50.0,50.0,50.0
50.0,28,15000,50.0,50.0,50.0,50.0
50.0,29,16000,50.0,50.0,50.0,50.0
50.0,31,17000,50.0,50.0,50.0,50.0
50.0,32,18000,50.0,50.0,50.0,50.0
50.0,32,19000,50.0,50.0,50.0,50.0
50.0,36,20000,50.0,50.0,50.0,50.0
50.0,38,21000,50.0,50.0,50.0,50.0
50.0,38,22000,50.0,50.0,50.0,50.0
50.0,40,23000,50.0,50.0,50.0,50.0
50.0,42,24000,50.0,50.0,50.0,50.0
50.0,44,25000,50.0,50.0,50.0,50.0
50.0,45,26000,50.0,50.0,50.0,50.0
50.0,46,27000,50.0,50.0,50.0,50.0
50.0,47,28000,50.0,50.0,50.0,50.0
50.0,50,29000,50.0,50.0,50.0,50.0
50.0,51,30000,50.0,50.0,50.0,50.0
50.0,52,31000,50.0,50.0,50.0,50.0
50.0,52,32000,50.0,50.0,50.0,50.0
50.0,52,33000,50.0,50.0,50.0,50.0
50.0,52,34000,50.0,50.0,50.0,50.0
50.0,55,35000,50.0,50.0,50.0,50.0
50.0,55,36000,50.0,50.0,50.0,50.0
50.0,58,37000,50.0,50.0,50.0,50.0
50.0,59,38000,50.0,50.0,50.0,50.0
50.0,59,39000,50.0,50.0,50.0,50.0
50.0,59,40000,50.0,50.0,50.0,50.0
50.0,59,41000,50.0,50.0,50.0,50.0
50.0,60,42000,50.0,50.0,50.0,50.0
50.0,61,43000,50.0,50.0,50.0,50.0
50.0,63,44000,50.0,50.0,50.0,50.0
50.0,66,45000,50.0,50.0,50.0,50.0
50.0,68,46000,50.0,50.0,50.0,50.0
50.0,69,47000,50.0,50.0,50.0,50.0
50.0,69,48000,50.0,50.0,50.0,50.0
50.0,70,49000,50.0,50.0,50.0,50.0
50.0,72,50000,50.0,50.0,50.0,50.0
50.0,77,51000,50.0,50.0,50.0,50.0
50.0,78,52000,50.0,50.0,50.0,50.0
50.0,79,53000,50.0,50.0,50.0,50.0
50.0,80,54000,50.0,50.0,50.0,50.0
0.5,83,55000,0.12297380621,0.87702619379,0.0,1.0
50.0,83,56000,50.0,50.0,50.0,50.0
50.0,87,57000,50.0,50.0,50.0,50.0
50.0,89,58000,50.0,50.0,50.0,50.0
50.0,89,59000,50.0,50.0,50.0,50.0
50.0,92,60000,50.0,50.0,50.0,50.0
50.0,94,61000,50.0,50.0,50.0,50.0
50.0,96,62000,50.0,50.0,50.0,50.0
50.0,97,63000,50.0,50.0,50.0,50.0
50.0,98,64000,50.0,50.0,50.0,50.0
50.0,101,65000,50.0,50.0,50.0,50.0
