avg_score,episode_count,frame_count,interval_lower,interval_upper
1.3,264,20000,0.954449785595,1.6455502144
2.2,414,40000,1.19963646325,3.20036353675
6.6,542,60000,2.88748833295,10.312511667
4.5,620,80000,2.0858544404,6.9141455596
42.3,716,100000,17.879759925,66.720240075
46.7,783,120000,25.9504018741,67.4495981259
62.8,875,140000,34.6792036622,90.9207963378
5.9,938,160000,2.12295768747,9.67704231253
23.3,991,180000,11.3105670375,35.2894329625
66.2,1038,200000,41.2141125887,91.1858874113
60.3,1082,220000,29.6274882302,90.9725117698
55.4,1115,240000,37.117689241,73.682310759
55.7,1173,260000,30.7819055813,80.6180944187
33.6,1238,280000,9.26571184216,57.9342881578
