avg_score,episode_count,frame_count,interval_lower,interval_upper,min,max
93.0,83,10000,82.2511161206,103.748883879,59.0,100.0
100.0,123,20000,100.0,100.0,100.0,100.0
2.3,183,30000,1.47054237366,3.12945762634,1.0,5.0
100.0,228,40000,100.0,100.0,100.0,100.0
100.0,246,50000,100.0,100.0,100.0,100.0
100.0,270,60000,100.0,100.0,100.0,100.0
100.0,292,70000,100.0,100.0,100.0,100.0
100.0,309,80000,100.0,100.0,100.0,100.0
100.0,354,90000,100.0,100.0,100.0,100.0
16.0,388,100000,2.33104546585,29.6689545341,1.0,67.0
100.0,451,110000,100.0,100.0,100.0,100.0
100.0,473,120000,100.0,100.0,100.0,100.0
15.7,498,130000,6.93189128804,24.468108712,1.0,33.0
2.2,561,140000,1.46118256444,2.93881743556,1.0,4.0
100.0,596,150000,100.0,100.0,100.0,100.0
100.0,620,160000,100.0,100.0,100.0,100.0
100.0,658,170000,100.0,100.0,100.0,100.0
2.3,723,180000,1.40461239983,3.19538760017,1.0,4.0
63.1,748,190000,34.9677818325,91.2322181675,6.0,100.0
14.9,785,200000,0.807287391237,28.9927126088,4.0,69.0
1.7,871,210000,1.21717088808,2.18282911192,1.0,3.0
100.0,900,220000,100.0,100.0,100.0,100.0
2.4,965,230000,1.32299776854,3.47700223146,1.0,5.0
48.4,1017,240000,19.0806434303,77.7193565697,2.0,100.0
100.0,1043,250000,100.0,100.0,100.0,100.0
