avg_score,episode_count,frame_count,interval_lower,interval_upper,min,max
3.0,225,20000,1.78412705912,4.21587294088,1.0,6.0
10.1,346,40000,2.10953487517,18.0904651248,2.0,34.0
4.0,468,60000,0.2448493932,7.7551506068,0.0,18.0
8.7,600,80000,5.44707008839,11.9529299116,1.0,17.0
41.1,691,100000,14.300995119,67.899004881,3.0,100.0
59.3,771,120000,26.9564260963,91.6435739037,1.0,100.0
9.0,830,140000,4.55172998662,13.4482700134,1.0,22.0
29.7,904,160000,15.1522597581,44.2477402419,0.0,67.0
29.6,988,180000,14.6583420578,44.5416579422,0.0,58.0
79.9,1042,200000,54.9992537249,104.800746275,3.0,100.0
82.7,1120,220000,57.4915200469,107.908479953,12.0,100.0
69.2,1183,240000,39.1175622112,99.2824377888,2.0,100.0
77.0,1239,260000,49.2328463043,104.767153696,3.0,100.0
23.3,1299,280000,5.52274518557,41.0772548144,0.0,83.0
83.9,1386,300000,61.0820956595,106.717904341,4.0,100.0
84.9,1442,320000,61.0012972155,108.798702784,3.0,100.0
24.4,1505,340000,9.18308082727,39.6169191727,4.0,61.0
70.3,1587,360000,46.437964836,94.162035164,14.0,100.0
9.6,1678,380000,4.49466994726,14.7053300527,2.0,26.0
100.0,1757,400000,100.0,100.0,100.0,100.0
45.5,1809,420000,23.5280727409,67.4719272591,5.0,100.0
3.0,1874,440000,-0.269493242148,6.26949324215,0.0,15.0
86.1,1950,460000,70.774175067,101.425824933,47.0,100.0
12.1,2000,480000,5.32652741871,18.8734725813,2.0,28.0
98.4,2061,500000,95.7835360047,101.016463995,89.0,100.0
