avg_score,episode_count,frame_count,interval_lower,interval_upper,min,max
5.1,206,20000,1.77104872179,8.42895127821,1.0,14.0
5.1,349,40000,0.337515913069,9.86248408693,1.0,22.0
17.1,468,60000,5.8524801727,28.3475198273,2.0,45.0
9.5,549,80000,4.73990432048,14.2600956795,1.0,22.0
50.4,609,100000,24.4115431659,76.3884568341,6.0,100.0
61.8,665,120000,31.6326265918,91.9673734081,3.0,100.0
68.2,746,140000,39.0350316131,97.3649683869,1.0,100.0
87.3,826,160000,67.6134553529,106.986544647,23.0,100.0
11.3,890,180000,4.6999952124,17.9000047876,1.0,27.0
2.0,966,200000,0.491895224839,3.50810477516,0.0,6.0
91.2,1067,220000,76.8737983973,105.526201603,40.0,100.0
89.1,1097,240000,67.0681170052,111.131882995,2.0,100.0
90.2,1132,260000,72.2897080701,108.11029193,21.0,100.0
75.6,1193,280000,45.7597165088,105.440283491,1.0,100.0
15.5,1237,300000,7.10153525048,23.8984647495,1.0,29.0
73.3,1279,320000,49.8295819154,96.7704180846,10.0,100.0
76.4,1356,340000,47.6623917754,105.137608225,2.0,100.0
90.1,1396,360000,67.7046440889,112.495355911,1.0,100.0
72.3,1433,380000,40.3295126135,104.270487387,2.0,100.0
90.0,1484,400000,77.6142448003,102.3857552,53.0,100.0
85.6,1537,420000,63.6230270617,107.576972938,18.0,100.0
100.0,1593,440000,100.0,100.0,100.0,100.0
19.9,1669,460000,7.31635893529,32.4836410647,2.0,55.0
86.1,1700,480000,63.1776755864,109.022324414,3.0,100.0
92.3,1741,500000,74.8813898469,109.718610153,23.0,100.0
