avg_score,episode_count,frame_count,interval_lower,interval_upper,min,max
50.2,128,20000,25.7314938219,74.6685061781,7.0,100.0
4.2,221,40000,1.84426503371,6.55573496629,1.0,10.0
6.6,357,60000,3.52405772917,9.67594227083,2.0,14.0
52.4,428,80000,31.6445111299,73.1554888701,22.0,100.0
42.6,495,100000,17.5087439262,67.6912560738,8.0,100.0
3.4,561,120000,1.54680982643,5.25319017357,0.0,8.0
3.0,637,140000,1.21558636578,4.78441363422,0.0,7.0
56.7,744,160000,35.2047450454,78.1952549546,0.0,100.0
38.3,839,180000,14.309636347,62.290363653,1.0,88.0
36.5,933,200000,8.67301480345,64.3269851966,4.0,100.0
6.6,1022,220000,1.67608987317,11.5239101268,1.0,25.0
