avg_score,episode_count,frame_count,interval_lower,interval_upper,min,max
4.3,129,20000,1.86708529055,6.73291470945,1.0,12.0
4.4,219,40000,1.45629691562,7.34370308438,1.0,11.0
100.0,350,60000,100.0,100.0,100.0,100.0
100.0,384,80000,100.0,100.0,100.0,100.0
100.0,454,100000,100.0,100.0,100.0,100.0
37.1,542,120000,18.7455222505,55.4544777495,3.0,77.0
100.0,645,140000,100.0,100.0,100.0,100.0
100.0,696,160000,100.0,100.0,100.0,100.0
100.0,761,180000,100.0,100.0,100.0,100.0
2.3,809,200000,1.40461239983,3.19538760017,1.0,5.0
100.0,886,220000,100.0,100.0,100.0,100.0
2.4,935,240000,1.22213251686,3.57786748314,1.0,6.0
100.0,1026,260000,100.0,100.0,100.0,100.0
4.4,1066,280000,2.67389518949,6.12610481051,1.0,8.0
44.5,1170,300000,17.5680818386,71.4319181614,8.0,100.0
100.0,1240,320000,100.0,100.0,100.0,100.0
100.0,1347,340000,100.0,100.0,100.0,100.0
3.2,1417,360000,1.99351617987,4.40648382013,1.0,5.0
100.0,1522,380000,100.0,100.0,100.0,100.0
3.0,1626,400000,1.06280434101,4.93719565899,1.0,10.0
99.7,1722,420000,99.0213528512,100.378647149,97.0,100.0
100.0,1765,440000,100.0,100.0,100.0,100.0
2.9,1822,460000,1.75891167854,4.04108832146,1.0,5.0
30.4,1923,480000,15.8555823425,44.9444176575,6.0,68.0
100.0,1966,500000,100.0,100.0,100.0,100.0
100.0,2026,520000,100.0,100.0,100.0,100.0
2.0,2112,540000,1.10779318289,2.89220681711,1.0,5.0
2.9,2172,560000,1.86334935679,3.93665064321,1.0,5.0
6.7,2279,580000,3.72077728255,9.67922271745,1.0,14.0
100.0,2363,600000,100.0,100.0,100.0,100.0
94.9,2438,620000,83.36299847,106.43700153,49.0,100.0
100.0,2539,640000,100.0,100.0,100.0,100.0
100.0,2636,660000,100.0,100.0,100.0,100.0
33.1,2710,680000,13.1113526518,53.0886473482,7.0,100.0
93.0,2818,700000,82.3949025636,103.605097436,62.0,100.0
100.0,2891,720000,100.0,100.0,100.0,100.0
100.0,2995,740000,100.0,100.0,100.0,100.0
43.1,3103,760000,19.1656360062,67.0343639938,2.0,100.0
2.6,3197,780000,1.83101443229,3.36898556771,1.0,4.0
100.0,3307,800000,100.0,100.0,100.0,100.0
4.1,3369,820000,2.09218064239,6.10781935761,1.0,9.0
100.0,3449,840000,100.0,100.0,100.0,100.0
2.0,3541,860000,0.831827064293,3.16817293571,0.0,6.0
100.0,3642,880000,100.0,100.0,100.0,100.0
100.0,3703,900000,100.0,100.0,100.0,100.0
100.0,3809,920000,100.0,100.0,100.0,100.0
11.4,3898,940000,4.62023451291,18.1797654871,1.0,25.0
100.0,3950,960000,100.0,100.0,100.0,100.0
100.0,4025,980000,100.0,100.0,100.0,100.0
100.0,4069,1000000,100.0,100.0,100.0,100.0
