avg_score,episode_count,frame_count,interval_lower,interval_upper,min,max
1.6,217,20000,0.374809888838,2.82519011116,0.0,5.0
13.7,337,40000,3.16996146365,24.2300385364,2.0,47.0
37.0,459,60000,9.21442288945,64.7855771105,0.0,100.0
12.6,533,80000,4.88651951863,20.3134804814,2.0,36.0
10.5,596,100000,5.08078124486,15.9192187551,0.0,21.0
72.0,679,120000,45.0664984619,98.9335015381,3.0,100.0
88.1,733,140000,65.5477818291,110.652218171,0.0,100.0
70.7,793,160000,40.5321553952,100.867844605,1.0,100.0
73.5,853,180000,48.9261048434,98.0738951566,16.0,100.0
73.3,908,200000,42.4574137542,104.142586246,3.0,100.0
35.4,967,220000,15.6957006723,55.1042993277,9.0,100.0
91.4,1022,240000,78.4302989336,104.369701066,57.0,100.0
80.1,1077,260000,55.1764297288,105.023570271,4.0,100.0
81.5,1118,280000,53.5588230533,109.441176947,3.0,100.0
76.3,1155,300000,48.36940691,104.23059309,3.0,100.0
90.3,1204,320000,68.3570755214,112.242924479,3.0,100.0
13.3,1265,340000,1.55492300025,25.0450769998,1.0,44.0
9.5,1303,360000,1.02068173987,17.9793182601,0.0,39.0
54.6,1347,380000,23.6816452054,85.5183547946,3.0,100.0
89.7,1388,400000,74.8008330701,104.59916693,35.0,100.0
13.7,1442,420000,6.48272986202,20.917270138,4.0,36.0
83.5,1497,440000,60.7900000514,106.209999949,3.0,100.0
82.3,1568,460000,64.0368262661,100.563173734,31.0,100.0
89.0,1628,480000,69.5694291866,108.430570813,15.0,100.0
42.1,1674,500000,15.0602028727,69.1397971273,2.0,100.0
