avg_score,episode_count,frame_count,interval_lower,interval_upper,min,max
3.3,228,20000,1.39089183894,5.20910816106,1.0,10.0
6.6,334,40000,3.19088253858,10.0091174614,2.0,15.0
56.4,430,60000,28.5139233631,84.2860766369,5.0,100.0
8.7,507,80000,3.30391344448,14.0960865555,1.0,23.0
22.2,569,100000,8.77109121262,35.6289087874,1.0,48.0
4.2,629,120000,0.76430032355,7.63569967645,0.0,16.0
68.9,685,140000,43.0469974601,94.7530025399,1.0,100.0
78.5,739,160000,54.3744476739,102.625552326,12.0,100.0
54.2,790,180000,23.1118182798,85.2881817202,1.0,100.0
91.5,833,200000,80.3499642398,102.65003576,58.0,100.0
8.7,865,220000,1.74757155928,15.6524284407,0.0,29.0
15.8,940,240000,3.55366920061,28.0463307994,1.0,57.0
6.4,992,260000,2.36458665164,10.4354133484,0.0,16.0
84.3,1036,280000,63.9404458965,104.659554104,17.0,100.0
87.8,1082,300000,65.378381904,110.221618096,1.0,100.0
67.4,1123,320000,36.5166063686,98.2833936314,8.0,100.0
71.7,1182,340000,43.7002772088,99.6997227912,4.0,100.0
61.4,1256,360000,33.8173449773,88.9826550227,3.0,100.0
33.8,1323,380000,10.7778037929,56.8221962071,1.0,100.0
89.8,1396,400000,71.9246636953,107.675336305,22.0,100.0
86.5,1448,420000,68.7733525864,104.226647414,34.0,100.0
44.2,1509,440000,18.6003934228,69.7996065772,3.0,100.0
87.9,1549,460000,69.6324681077,106.167531892,37.0,100.0
99.2,1580,480000,97.3902742698,101.00972573,92.0,100.0
92.3,1614,500000,74.8813898469,109.718610153,23.0,100.0
