avg_score,episode_count,frame_count,interval_lower,interval_upper,min,max
2.8,337,20000,0.672556410714,4.92744358929,1.0,10.0
0.0,650,40000,0.0,0.0,0.0,0.0
0.1,972,60000,-0.126215716274,0.326215716274,0.0,1.0
0.0,1278,80000,0.0,0.0,0.0,0.0
0.0,1589,100000,0.0,0.0,0.0,0.0
0.3,1893,120000,-0.0455502144049,0.645550214405,0.0,1.0
0.2,2215,140000,-0.101620955032,0.501620955032,0.0,1.0
0.0,2545,160000,0.0,0.0,0.0,0.0
10.5,2853,180000,2.96513363947,18.0348663605,1.0,34.0
0.0,3147,200000,0.0,0.0,0.0,0.0
10.7,3449,220000,1.07851609815,20.3214839018,1.0,40.0
0.1,3776,240000,-0.126215716274,0.326215716274,0.0,1.0
0.0,4111,260000,0.0,0.0,0.0,0.0
0.0,4442,280000,0.0,0.0,0.0,0.0
0.0,4776,300000,0.0,0.0,0.0,0.0
0.6,5089,320000,0.23059128222,0.96940871778,0.0,1.0
0.0,5409,340000,0.0,0.0,0.0,0.0
0.0,5737,360000,0.0,0.0,0.0,0.0
0.0,6069,380000,0.0,0.0,0.0,0.0
0.3,6392,400000,-0.182829111921,0.782829111921,0.0,2.0
0.0,6736,420000,0.0,0.0,0.0,0.0
0.0,7068,440000,0.0,0.0,0.0,0.0
0.4,7376,460000,0.0305912822202,0.76940871778,0.0,1.0
3.4,7691,480000,1.67389518949,5.12610481051,1.0,9.0
0.0,8017,500000,0.0,0.0,0.0,0.0
0.0,8352,520000,0.0,0.0,0.0,0.0
0.2,8668,540000,-0.101620955032,0.501620955032,0.0,1.0
0.0,8974,560000,0.0,0.0,0.0,0.0
0.0,9281,580000,0.0,0.0,0.0,0.0
0.4,9616,600000,0.0305912822202,0.76940871778,0.0,1.0
0.2,9937,620000,-0.101620955032,0.501620955032,0.0,1.0
0.0,10267,640000,0.0,0.0,0.0,0.0
0.2,10603,660000,-0.101620955032,0.501620955032,0.0,1.0
0.0,10911,680000,0.0,0.0,0.0,0.0
0.0,11231,700000,0.0,0.0,0.0,0.0
0.0,11546,720000,0.0,0.0,0.0,0.0
0.0,11850,740000,0.0,0.0,0.0,0.0
0.5,12179,760000,-0.107936470439,1.10793647044,0.0,2.0
0.1,12496,780000,-0.126215716274,0.326215716274,0.0,1.0
0.0,12816,800000,0.0,0.0,0.0,0.0
0.4,13121,820000,-0.100181768375,0.900181768375,0.0,2.0
1.3,13431,840000,0.542186729301,2.0578132707,0.0,4.0
0.0,13743,860000,0.0,0.0,0.0,0.0
0.0,14065,880000,0.0,0.0,0.0,0.0
0.3,14399,900000,-0.0455502144049,0.645550214405,0.0,1.0
0.3,14709,920000,-0.0455502144049,0.645550214405,0.0,1.0
0.7,15016,940000,-0.0578132706992,1.4578132707,0.0,3.0
3.9,15325,960000,1.86405855353,5.93594144647,0.0,8.0
0.1,15644,980000,-0.126215716274,0.326215716274,0.0,1.0
0.2,15975,1000000,-0.101620955032,0.501620955032,0.0,1.0
