avg_score,episode_count,frame_count,interval_lower,interval_upper,min,max
0.0,335,20000,0.0,0.0,0.0,0.0
0.1,665,40000,-0.126215716274,0.326215716274,0.0,1.0
0.0,996,60000,0.0,0.0,0.0,0.0
0.0,1324,80000,0.0,0.0,0.0,0.0
0.0,1654,100000,0.0,0.0,0.0,0.0
0.2,1982,120000,-0.101620955032,0.501620955032,0.0,1.0
0.0,2311,140000,0.0,0.0,0.0,0.0
0.0,2646,160000,0.0,0.0,0.0,0.0
0.1,2975,180000,-0.126215716274,0.326215716274,0.0,1.0
0.0,3308,200000,0.0,0.0,0.0,0.0
0.0,3640,220000,0.0,0.0,0.0,0.0
0.0,3964,240000,0.0,0.0,0.0,0.0
0.1,4292,260000,-0.126215716274,0.326215716274,0.0,1.0
0.1,4626,280000,-0.126215716274,0.326215716274,0.0,1.0
