avg_score,episode_count,frame_count,interval_lower,interval_upper
1.1,273,20000,0.473637044343,1.72636295566
1.1,553,40000,0.572163328694,1.62783667131
1.8,800,60000,1.14263236888,2.45736763112
1.7,1008,80000,0.743214781063,2.65678521894
1.6,1184,100000,0.329248329085,2.87075167091
5.0,1339,120000,2.26039162608,7.73960837392
6.2,1468,140000,2.53993193017,9.86006806983
5.3,1620,160000,3.08739904689,7.51260095311
4.6,1760,180000,2.35804107343,6.84195892657
8.7,1868,200000,2.2129578244,15.1870421756
8.9,1952,220000,3.29307412856,14.5069258714
6.9,2056,240000,1.19256557338,12.6074344266
7.5,2177,260000,3.80206681681,11.1979331832
8.3,2268,280000,3.68793548719,12.9120645128
9.9,2357,300000,3.56012770024,16.2398722998
3.2,2450,320000,1.18229332582,5.21770667418
20.3,2533,340000,3.65251098462,36.9474890154
16.7,2615,360000,2.16398991659,31.2360100834
22.2,2701,380000,8.45306451355,35.9469354865
10.0,2791,400000,5.07839994138,14.9216000586
17.6,2877,420000,8.38203724891,26.8179627511
11.9,2945,440000,3.94519403707,19.8548059629
18.1,3014,460000,8.64302860025,27.5569713998
11.4,3081,480000,3.59856364865,19.2014363514
17.4,3152,500000,-3.60330324722,38.4033032472
17.2,3219,520000,1.55345838262,32.8465416174
17.6,3285,540000,3.55275080609,31.6472491939
8.5,3361,560000,3.76385463939,13.2361453606
21.9,3428,580000,8.58739782941,35.2126021706
53.9,3483,600000,31.8320156266,75.9679843734
9.4,3547,620000,4.67647716993,14.1235228301
27.2,3603,640000,5.30961112931,49.0903888707
19.6,3654,660000,1.99905395861,37.2009460414
29.8,3708,680000,7.41899345354,52.1810065465
11.9,3776,700000,5.81642796054,17.9835720395
14.7,3815,720000,-2.6826658099,32.0826658099
